timestamp,ear,mar,eyes_closed,mouth_open,perclos,mor,blink_per_min,yawn_active,yawn_seconds,pitch,yaw,roll,fatigue_flag
1765804716.5616515,0.1650998920947403,0.0,1,0,1.0,0.0,0,0,0.0,-179.8650432867398,-0.6964514674386645,0.8269430240931969,0
1765804716.8097484,0.3054380369345382,0.024390243902439025,0,0,0.5,0.0,1,0,0.0,178.2508979320562,-5.525937695094961,1.0255667081419326,0
1765804716.834385,0.3227202406196119,0.0,0,0,0.3333333333333333,0.0,1,0,0.0,178.65144460059884,-3.044357157462561,1.6436082028257306,0
1765804716.8553252,0.31898681229160025,0.0,0,0,0.25,0.0,1,0,0.0,178.40910185912364,0.0720427157937795,1.364700639462991,0
1765804716.8730555,0.2967642983797474,0.024382992454708537,0,0,0.2,0.0,1,0,0.0,177.94593505780935,-2.7540502101559596,1.811940513753894,0
1765804716.8896866,0.33908085871982657,0.0,0,0,0.16666666666666666,0.0,1,0,0.0,179.4160731013309,-4.992759019387815,1.8375734433635669,0
1765804716.9067907,0.3430362893428017,0.0,0,0,0.14285714285714285,0.0,1,0,0.0,178.8887535959872,-4.395963942859993,2.8620087222656623,0
1765804716.93238,0.33010971653817317,0.0,0,0,0.125,0.0,1,0,0.0,179.2563666277679,-2.6116965937435266,2.224966672631398,0
1765804716.9624662,0.32018094815330395,0.0,0,0,0.1111111111111111,0.0,1,0,0.0,176.82385465732875,0.5209771872045917,1.2290785490495402,0
1765804716.9951205,0.342422067754249,0.0,0,0,0.1,0.0,1,0,0.0,177.16379423507567,1.2508794366172094,1.548663601043067,0
1765804717.0274794,0.3138393807892603,0.0,0,0,0.09090909090909091,0.0,1,0,0.0,177.39476504413082,-2.5952328567328498,1.9772413458632883,0
1765804717.0585425,0.33965224042981085,0.0,0,0,0.08333333333333333,0.0,1,0,0.0,176.82385465732875,0.5209771872045917,1.2290785490495402,0
1765804717.0904138,0.34033405585890425,0.02499219116020307,0,0,0.07692307692307693,0.0,1,0,0.0,178.4748001456703,3.0082465937157936,1.4594632231305609,0
1765804717.1235387,0.32672983873561007,0.024390243902439025,0,0,0.07142857142857142,0.0,1,0,0.0,179.4708563312305,-1.8292188694176845,1.3320635138511578,0
1765804717.1549876,0.29156363911574523,0.02564102564102564,0,0,0.06666666666666667,0.0,1,0,0.0,178.12452360312818,-7.781456939826148,1.81305398895282,0
1765804717.186926,0.33783589342895404,0.0,0,0,0.0625,0.0,1,0,0.0,177.4966669994456,-5.108514180420124,1.900590692176235,0
